Name,Current Company/Employer,Past Companies,Description,Key Areas of Interest/Expertise,In what capacity do you want to help out?,Advisor Location.,Berkeley SkyDeck or Milano,id
Mike Caballero,Moveworks,Clairvoy,"I'm a former SkyDeck founder and currently a Data Scientist at Moveworks, analyzing product data for our largest customers. As a founder, I was building a product analytics tool for startups so I extensive knowledge of the industry leading data products for startups like Mixpanel and Amplitude. In my current role, I have become familiar with state of the art data tools and processes at a leading AI/ML unicorn. I believe I could be a valuable resource to founders in navigating the evolving data space and achieving their data goals. Specifically, I could help them figure out the metrics to track and the tools or technologies needed.","Data, Metrics, Product Analytics, Data Science, Machine Learning",Mentor,USA/Canada,Berkeley Skydeck,rec0uJZSU6MOnXskR
Alex Ang,Sunday Dojo Group ,Citigroup ,"I started my career as an investment banker in Citigroup before venturing out to start my own consultancy firm. I have been an angel investor for the past decade. I have an extensive network of business connections globally and am active in various investment deal sourcing and deal flows. Using my expertise in financial processes and most recently web3 knowledge, I seek to further contribute my expertise and time in the space of venture capitalism and angel investments","Seed stage startups, tech, web3, health/wellness tech, fitnesstech ",Advisor,Asia,Berkeley Skydeck,rec0ykoEMH5fb4zM3
Gary Fan,Royal Business Bank,"Gateway Bank, CTBC Bank, Agility, Accuride","I'm currently an Executive Officer of a $4 billion bank located in Los Angeles where I lead the following teams: retail branches, private banking, mortgage, central operations, marketing, branding, wealth management, HR, product, project management.  Prior to this, I was the President of Gateway Bank and led the successful turnaround to profitability which resulted in a merger agreement.  I've also run a fintech startup as President.  Prior to banking, I had executive experience in the following industries: e-commerce, manufacturing, brokerage, supply chain logistics.","Banking (Commercial + Consumer), Fintech, Regulatory Relations, Cost Management, Earnings Improvement, Product Management, Operations, Leadership/People Management",Advisor,USA/Canada,Berkeley Skydeck,rec1B5rMyBTVCic1E
David Howard,BuzzBoard,"Salesforce, Platform9, Five9","Deep experience in demand gen, content marketing, product marketing, marketing operations","demand gen, marketing",Advisor,USA/Canada,Berkeley Skydeck,rec1IxqhPH98cWd68
Dushyant Pandya,Constanci LLC Co-Founder,"TIBCO, Salesforce, Comity Designs","Build products and go to market strategy for leading companies on salesforce AppExchange, Product strategy and ecosystem partnership for High Tech and Financial Service Industry for salesforce, Part of early creation team of Force.com platform at salesforce, Built distribution partnerships in APAC for TIBCO,","Fintech, SaaS, Subscriptions and billing, go to market",Advisor,USA/Canada,Berkeley Skydeck,rec1OEw9v0EVEpSGu
Pancrazio Auteri,ContentWise,"TiVo, AudienceView, Vendini, Fing, Minerva Networks",Product management executive with strong technical background. First startup founded in 1996. Arrived in California after his Milan-based startup got acquired by a San Jose company.,Product management. Building a product culture in a growing organization,Advisor,USA/Canada,Berkeley Skydeck,rec1TZbS5bDic2MhT
Flavio Farroni,Vehicle Dynamics researcher @ University of Naples + CEO & co-founder @ MegaRide,"as an academic technical consultant: Ferrari SpA, Pirelli Tyres, Ducati Corse, Bridgestone TCE, ...","Dr. Flavio Farroni is Applied Mechanics professor at University of Naples, founder and CEO of its spinoff MegaRide, and works as academic advisor in vehicle dynamics with several companies and racing teams. He works on the development of physical models for the optimization of performances in motorsport, in Driver in the Loop systems and in digital mobility scenarios, cooperating within an international research network. He has been awarded during TireExpo2015 as ""Young Scientist of the Year"", by MIT Technology Review among ""Italian Innovators Under 35"" of 2018 and the start-up MegaRide as ""Tire Technology of the Year"" at 2018 TireTechnologyConference ","Vehicle Dynamics , Tyres Mechanics , Mobility , Technical Contents Management , Scientific Dissemination",Advisor,Europe,"SkyDeck Europe, Milano",rec1X4OZ6Jh6CYNu1
Ciaran Quinn,VEO2,"Deltatre, Entriq (Naspers), MPP Global, e-Capital Investments, Wiz-Team, BlueZoo...","Ciaran Quinn is an international media and technology executive with a strong background in sports and media. He has worked as a C-suite executive; founded companies; helped buy and sell companies; been a board member of public and private firms, and an external advisor for technology companies and Private Equity investors. With extensive global experience in digital media and technology dating to 1995, he has worked on ground breaking digital projects that have changed and improved the ways people access media. Currently he operates his own boutique advisory company, VEO2, which advises/mentors C-Level executives on matters including business strategy and commercial growth and has investments in early- stage technology companies in Silicon Valley and Europe. He is Chairman of the Advisory Board of Wiz- Team, a Swiss technology firm providing SaaS services to world-leading sporting and government bodies. He holds an M.B.A. from the University of California at Berkeley where he was student body co-President, and a B.S. in Mechanical Engineering from R.P.I. A triple Irish, British and US citizen he has lived in Europe since 1992.",Sports and Media Technology,Advisor,Europe,"SkyDeck Europe, Milano",rec1jhf8N8CaFSlKW
Roman Arutyunov,"Xage Security, Inc.","Symantec, Blue Coat Systems, ABB, Mimosa Networks","Multiple startups and exits, Founder, Venture Fundraising, Product and Technology Management, Cybersecurity expertise, IoT/OT expertise, Networking expertise","Cybersecurity, IoT, Networking",Advisor,USA/Canada,Berkeley Skydeck,rec1l6xLHNHRByeGU
Giorgio Ventre ,University of Napoli Federico II,"International Computer Science Institute, National Research Council of Italy","First researcher and professor on Computer Networks, then startupper, and now manager of innovation intiatives, incubators, acceleration programs. ","Computer Networks and Security, Multimedia communication, Innovation and Acceleration programs. ",Advisor,Europe,"SkyDeck Europe, Milano",rec1nZycgavSKFOiQ
Alicia Kavelaars,OffWorld,"GMV, SSL (now part of Maxar)","Over 20 years of experience in the aerospace and robotics industry. CoFounder and CTO at OffWorld for almost 8 years. Passonate about growing ideas into successful products, growing teams, addressing and solving the common problems when building out a company from scratch, technology transfer, mentoring talented engineers. PhD and MS in Aeronautics and Astronautics from Stanford. Undergrad in Theoretical Physics.","Robotics, AI, Space Systems, Systems Engineering, Software and Hardware Architecture definition, founding and growing startups, Corporate Governance, Hiring, Team development",Advisor,USA/Canada,Berkeley Skydeck,rec1qp1arzSBcXcga
Michele Novelli,Freelancer,"Vodafone, Fastweb, Hansenet, Earlybird, Innogest, Digital Magics",">25 of experience. General Partner @ StepVenture, Partner @ Digital Magics and Partner of ScaleIT Capital. Previously General Partner @ Innogest VC, Partner @ Earlybird VC. Invested in >30 Startups internationally - i.e. Restopolis (sold to Tripadvisor), Nfon (listed at DAX), Prestiamoci, Growish, Drexcode, Insurengines, Diamantech, MoneyMour (sold to Klarna) , Coverholder, Aworld, Plurima, Deliveristo. Prior to Earlybird participated, with senior roles, in the start up of: Vodafone It, Fastweb and Hansenet Germany (sold to Telefonica). Degree Ms equivalent in Engineering.","Fintech, Insurtech, Regtech, Web3",Advisor,Europe,"SkyDeck Europe, Milano",rec1zIUqGv12GRlZj
Chris Becherer,Independent advisor,"Apple, Oura Ring, Pandora, Rdio",Product executive whose led Product and Design orgs at various consumer tech companies. Most recently CPO at Oura Ring.,"Consumer, Music Tech, Health Tech, Digital Media",Advisor,USA/Canada,Berkeley Skydeck,rec1zmxQ5sMSE7kxd
Olga Vetrova,www.hophopstory.pl,BBDO Kiev,"With over 12 years of experience in design and advertising, I've effectively collaborated with a wide range of clients, spanning from local startups to notable names like Kimberly-Clark, Unilever, Bayer and more.  I've established an illustration agency with zero investments and zero contacts in a new country. After 7 years in our portfolio we have projects for well-known advertising agencies as BBDO, Ogilvy, VML. We collaborated with PETA Germany and PETA Australia, our advs evoked discussion worldwide. Currently we've actively creating visual identity, pitch-decks, business plans for startups helping them to attract investors","fashion, tech, food, health",Mentor,Europe,"SkyDeck Europe, Milano",rec2BOXypxFaN6IGi
Wilton Gorske,Arpeggi Labs,"Futureswap, Taylor Stitch, Mission Workshop, Nautica, Movement Strategy, KARA, ISAORA, Robert Geller","Wilton is a design-forward digital marketing leader with a background in technology and fashion. His experience ranges from launching AI and web3 projects to leading brand, design, e-commerce, and growth marketing at apparel and accessories companies. Wilton specializes in community-centered marketing that integrates creative strategy and data-informed insights. He is a highly organized, cross-functional collaborator with a proven track record of leading teams to success. ","Apparel/fashion, web3, blockchain, AI",Advisor,USA/Canada,Berkeley Skydeck,rec2H0ZHiMq2CvfqF
Kevin Chan,Paperclip,"Headway, Maderight",Serial entrepreneur. Raised over $100M and built companies over $1B+ in valuation.,"engineering leadership, fundraising, early stage",Mentor,,Berkeley Skydeck,rec2JCYbdiiKmAkyR
Gianfranco Siano,Langosteria Holding,"CBA Design, Landor, Robilant Associati","Branding consultant, visual designer, manager","Branding, Visual Identity, Communication, Retail",Advisor,Europe,"SkyDeck Europe, Milano",rec2T8vHGn8hGxTsA
Abhishek Gupta,KeepTruckin,"Uber, Box, Salesforce, ZS Associates","Product management leader with experience in AI, ML and data products","AI, go to market, SaaS, analytics, transportation, logistics",Advisor,,Berkeley Skydeck,rec2bLCv9RGj7C7L8
Adit Gupta,Mirana Ventures,Tharsis (Evmos) / Mirana Ventures ,I have been involved in the blockchain space for over six years and have recently transitioned to the early-stage investing side. Our fund invests in web3 companies with check sizes ranging from $50k to $50M. Happy to further discuss my background on a call (https://calendly.com/adit-gupta-1/30min). ,Web3 and General Early-Stage Fundraising ,Advisor,USA/Canada,Berkeley Skydeck,rec2fDkZVLiSNWumC
Rubia Latif,Microsoft,"Microsoft, visionet systems",over 12 years of experience as a Product manager in software development,Product Management ,Mentor,USA/Canada,Berkeley Skydeck,rec2iUcDi44LCvW7M
Ravi Vayuvegula,"Self employed, working on validating a startup idea.","Providence Health, T-Mobile US, Lynx Analytics",I have experience across multiple functionalities.AI product management for Providence Health.Corporate strategy at T-Mobile and Sales and Marketing at Lynx analytics to name a few.Currently working on validating a startup idea in the area of voice search.,"I enjoy business development, product development and marketing for any tech related products. ",Mentor,,Berkeley Skydeck,rec2owscCWQXE5RlY
DHANINDER GARG DG,GST SUVIDHA KENDRA,TATAAIG,linkedin.com/in/dhaninder-garg-10221353,ALL,Advisor,Asia,Berkeley Skydeck,rec2rDO9ANJ3sMU7D
Joyce Shen,"Tenfore Holdings,   UC Berkeley School of Information","IBM, Thomson Reuters","Joyce Shen is an institutional investor and business executive. She has extensive and unique C-level business and technical leadership and experience in incubating, growing, and scaling and managing new businesses with both global public companies and early to growth stage technology startups. Joyce is a published book author on corporate innovation and blockchain.  With significant and rare cross-functional experience that span venture capital, M&A, capital raising, corporate strategy, technology and product innovation, operations, and go-to-market, Joyce helps companies of all sizes unlock growth levers, achieve strategic growth initiatives, implement innovative technology and data strategy, and establish strong financial posture and corporate governance.  Joyce currently serves as the Investment and Operating Partner at Tenfore Holdings, responsible for sourcing, executing, and managing early to growth stage technology venture investments. Beyond her expertise in venture capital and fundraising, Joyce has extensive experience in building, commercializing, and scaling enterprise software, big data & analytics, machine learning & AI, cybersecurity, deep tech businesses.   Joyce was the Managing Director in the Office of the CTO responsible for global emerging technology strategy, partnerships, and investments at Thomson Reuters. Prior to Thomson Reuters, Joyce has held global leadership and executive management roles as Chief Financial Officer & Chief Operating Officer of IBM Cloud Platform responsible for a multi-billion P&L. Prior to IBM Cloud Platform, Joyce has led finance, operations, and acquisition integration of the $1 billion Collaboration Software and HR software business. She started her career at IBM Corporate Development closing acquisitions over $6 billion to accelerate growth in cloud, data, and security.   Since 2016, Joyce has been a lecturer at the School of Information of UC Berkeley teaching the data science capstone course.  Joyce is a member of the boards of various technology companies. She also serves on the innovation advisory council for the World Food Programme Innovation Accelerator and was a member of the advisory board for Enterprise Estonia, Per Scholas, and Sponsors for Education Opportunity.  Also a mentor at Techstars, ERA, and other pre-seed organizations.","Commercializing and scaling enterprise software, data and deep technology companies. Fundraising. Strategy formation and planning. Execution excellence - all around, given my cross functional experience both technical and non-technical",Advisor,USA/Canada,Berkeley Skydeck,rec2ruC3PNGtoAjUn
Giuseppe Borghi,European Space Agency,"Teledyne e2v, OHB, Media Lario Technologies, TNO",I'm a senior manager with a lot of experience in strategy and BD in innovative technologies,Space,Advisor,Europe,"SkyDeck Europe, Milano",rec2yMHYrzCdQt26k
Jean-Marc Chanoine,Templafy ,"Accenture, US Navy, Goldman Sachs ","Jean-Marc Chanoine is the Global VP of Sales & Account Management at Templafy, a next gen document generation platform. A lawyer by trade, Jean-Marc started his career as a Navy JAG defense attorney and acted as the General Counsel for the Naval Nuclear Power Training Command. Following that he transitioned into consulting at Accenture where he led procurement organizations through digital transformations and organizational redesigns. At Templafy, he utilizes his past experiences to lead the North American sales team as they strive to remove any & all manual document work for knowledge workers. ","GTM, Sales, Commercial Contract structure, Business Development, Sales Org Scaling ",Mentor,USA/Canada,Berkeley Skydeck,rec38qHAT7cNauo6l
Satheesh Sudarsan,Next Digital,"Intel, Samsung, Phoenix Technologies, Womply",Product and GM executive.  ,"Fintech, Commerce, AI, Digital transformation, Mobile and Semiconductors.",Advisor,USA/Canada,Berkeley Skydeck,rec3Hbgl7ZLUo6AXd
Michael Skaff,Vayyar Imaging,"Dele Health Tech (CTO), Jewish Senior Living Group (CIO and CTO), Masons of California (CIO and COO), Link-Age Launch (VC and Incubator), Tau Ventures (Advisor), Fika Ventures (Advisor), Lionbird Ventures (Advisor), San Francisco Symphony (CIO), etc.","Over 30 years of experience in technology, the past 15 years in CIO, CTO and COO roles. The past 10 years, I have led SF Bay Area post-acute and LTC healthcare providers in CIO and COO roles, and serve as an advisor and scout to a global group of digital health VCs, and a mentor to several global accelerators as well as directly advising a handful of digital health startups. Experience working for a startup that went through a successful IPO, and several that were acquired or failed, all of which I learned from.","Digital health startups and established companies, Healthcare provider operations (particularly post-acute and LTC, focused on care for older adults). Mentorship of a number of global startups in digital health, healthcare and enterprise SaaS. 30+ years of professional experience in IT and in technology.",Advisor,USA/Canada,Berkeley Skydeck,rec3Jtsa6NKUwDcPX
Karen Yee Taylor,Vyne/Onederful,"thredUP, Zynga, Yahoo, AIG","Entrepreneur, Ceo and Cofounder sold Onederful in 2021 to Vyne.","Pitch Deck, Fundraising, Product Market Fit, Acquisitions, ",Advisor,USA/Canada,Berkeley Skydeck,rec3OuAnfcbVmLjaP
Rod Hezarkhani,NBCUniversal,"Accenture, Dow Jones, Christie's, Merrill Lynch",Product Management Executive,Product Management,Mentor,USA/Canada,Berkeley Skydeck,rec3cQSuty7qINzfY
Elisa Rossi,Remote VP of Growth // Milaner Founder,"Apple, Square, Eventbrite","Elisa is the VP of Growth at Remote, heading up Partnerships, Performance Marketing, Product Marketing, PR and Comms, Commercial Strategy and International Growth. A conference interpreter by education, she was previously a product management and marketing executive at Apple, Square and Eventbrite where she headed up strategic global expansion initiatives. Elisa also founded Milaner, an e-commerce platform enabling Italian and French luxury artisans to sell directly to consumers for the first time.","Fintech, B2B, B2C, go to market, international expansion, fundraising, customer acquisition strategy, product strategy",Advisor,Europe,"SkyDeck Europe, Milano",rec3eDaoFSC1DXdUB
Krishna (Vasanth) Namasivayam,Dropbox,"Facebook(Meta), NVIDIA","Through my career, I have focused on the real world application & responsible/ethical productization of Machine Learning & related technologies  At Dropbox where I head the Machine Learning product organization, my focus was on transforming the group from research to user need focused in 2021 & on building and scaling assistive user experiences at Dropbox scale (700M users) in 2022  At Facebook in 2020, I was the first product manager focused on reducing External Link Misinformation & Integrity across Facebook & Instagram   Away from work, I enjoy mentoring junior product managers & advising startups focused on leveraging technology to solve real world problems","Product Management, Leading Product Teams, Machine Learning",Advisor,USA/Canada,Berkeley Skydeck,rec3eHGcEmYhz2Eoz
Jonathan Hakim,Cignifi Holdings Limited,"AzimaDLI, International Finance Corporation, Lehman Brothers, UBS, The Economist","Entrepreneur with proven track record in starting and building global data/analytics businesses, from start-up through growth and exit. Particular expertise in finance, product and business development. British citizen based in Boston with global network.","Data analytics, fintech, fundraising.",Advisor,USA/Canada,Berkeley Skydeck,rec3fElnTprdvvMay
Alan Chow,Focus Capital Group Ltd,"Focus Capital Group, Novo Group Ltd (HKEx & SGX mainboard listed), ECI info (HKEx listed), HK Polytechnic University,  Beyond Venture (HK Government co-investment partner)","Prof Alan Chow is a serial entrepreneur with startup experience in information technology, investment, mine and resources, property and education. He is now serving as the INED of a HKEx listed company.  He is the Founder of Focus Capital Group Ltd, and Focus Capital Investment Inc, which invested in companies in Greater Bay Area and Silicon Valley. He is also the Advisory Partner of Beyond Ventures, a Hong Kong Government Innovation and Technology Venture Fund (ITVF)’s Co-Investment Partner.  Prof Chow also serves as Professor of Practice and Adjunct Professor of HK and China universities for Entrepreneurship as well as Honorary Judge and Professional Mentor of various Start-up competitions in various countries to promote entrepreneurship.   He has studied and graduated from Tsinghua-Berkeley Shenzhen Institute, Renmin University of China and the University of Hong Kong respectively. In the past, he founded and led the company to be listed on the main board of Singapore and Hong Kong in 3 and 5 years, and served as a member of the board of directors and Chairman of the Investment Committee.","AI, start up, go to market, IPO, strategy, innovation and execution",Mentor,Asia,Berkeley Skydeck,rec43uyUKJMRM79iT
Raj Barot,Agile Counsel,"Docomo Digital (acquired by Bango), Luxola (acquired by Sephora), H5 (acquired by Lighthouse)","Raj Barot is a startup lawyer (www.agilecounsel.com) and former tech founder and general counsel with over 15 years of cross-border experience building, managing and advising startups at every stage of growth from formation to exit in the US and Asia. He is licensed in California, Singapore and Vietnam, and works across the US and Southeast Asia on venture financings and M&A.","Operations, international expansion, venture capital, M&A",Mentor,Asia,Berkeley Skydeck,rec487AdxkJk0ld1S
Oleksandr Krotenko,SolarGaps,RevenueGrid,20 years of expertise in International Business and Trade. Advised companies on global expansion by developing business strategy and mitigating risks.,International Business and Trade,Advisor,USA/Canada,Berkeley Skydeck,rec4EXRqY40r0sKuV
Roman Arutyunov,Xage Security,"ABB, Symantec (Blue Coat Systems) Mimosa Networks, Tropos Networks","Roman Arutyunov is the Co-Founder and Vice President of Products at Xage Security (founded in 2017, $60M raised to-date, located in Palo Alto, CA). Xage accelerates and simplifies the way enterprises secure, manage and transform digital operations across OT, IT, and cloud. Xage solutions include Identity & Access Management (IAM), zero trust remote access, and dynamic data security, all powered by the Xage Fabric. Roman has over 20 years of experience in cybersecurity, distributed systems, networking, and digital transformation. Most recently, he led Product Management and R&D globally at ABB, establishing market leadership in energy, manufacturing, transportation, and DoD markets. Prior to ABB, Roman developed malware protection, data security, and content filtering solutions for Fortune 100 enterprises at BlueCoat Systems (acquired by Symantec), also led Engineering and Product at Mimosa Networks and Tropos Networks launching first-to-market large scale fixed and mobile mesh networking products and solutions enabling millions of IoT devices and mobile applications in production today. Roman holds a Bachelor's in Applied Mathematics with an emphasis in Computer Science from UC Berkeley and an MBA from UC Berkeley, Haas School of Business","Cybersecurity, Digital Transformation, Software, Fund Raising, Venture Capital, Board, Executive Leadership, Startup Founder",Mentor,USA/Canada,Berkeley Skydeck,rec4Lke9mvEeAKPrB
Douglas Skinner,"Kyocera Document Solutions Development America, Inc.","Microsoft, Cisco, Siemens, Williams Cos, WasteTrakr, Metricom ","Award winner, entrepreneurial startup business owner, professional and advisor, Piranha Pool mentor and Business School Advisory Board Member at Diablo Valley College, Certified Professional Information Governance Technologies","Information Governance, Security, Identity Management, Ecosystems, Product Management, Agile Development, Intellectual Property, Strategic Partnerships, RevOps, Business Development",Advisor,USA/Canada,Berkeley Skydeck,rec4Wtt0HRztFSD3S
Dennis Clark,Zeon Ventures,"Honda Innovations, DEFTA Partners, Citigroup, UNESCO","15+ years in technology venturing, corporation innovation and startups.  Practice areas including mobility, manufacturing, sustainability and climate","mobility, manufacturing, sustainability and climate",Mentor,USA/Canada,Berkeley Skydeck,rec4Wz5K7xPzpPnlE
Ravi Thakur,Self-Employed,"Oracle, Coupa","Executive VP at Coupa software.  One of the first handful employees that built and ran close to 1/2 the company through IPO in customer success, pre sales, and cloud operations functions.  Then created a new line of business and grew it to 100+ customers from zero in 3 years.","Fintech, Spend Management, Customer Success, Go to Market, B2B, SaaS",Advisor,,Berkeley Skydeck,rec4nNZ42EduzqizV
Tanmay Khandelwal,DoctorPlan,"Exponential, MoldedBits, Independent Consultant","I’m Chief Product Office and Co-founder of Healthcare venture, DoctorPlan. I’ve been involved in earliest stages of startup ecosystem, from 0 to 1. I’ve built products right from ideation phase to launch (and beyond).","Healthcare, Leadership, Product Strategy",Advisor,Asia,Berkeley Skydeck,rec57C8vtuktqBztj
Tejas Inamdar,Turquoise Health,"Teladoc, Livongo, Medtronic","About Tejas is currently the Head of Strategic Partnerships at Turquoise Health, where he is helping create greater price transparency in healthcare. He has previously worked on scaling virtual care solutions at Teladoc and was the first product partnerships hire at Livongo. Earlier in his career, Tejas developed medical devices in womens health and cardiology at Medtronic. He has worked across product, engineering, marketing, business development and sales at seed stage startups to Fortune 500 companies. He is a Tata Scholar, Mahindra Scholar and 2-time MIT Hacking Medicine runner-up. He has an MBA from Berkeley-Haas and a masters in engineering from MIT. He enjoys advising and mentoring early stage startups and founders. Tejas lives in Burlingame, CA.","Healthcare, Business Development, Partnerships, Product Development, Medical Devices",Advisor,USA/Canada,Berkeley Skydeck,rec5EsRcIUW9QwNuI
David Block,None,"Transact Technologies, Esselte, Newell-Rubbermaid, Dymo","I've developed and launched multiple products in the consumer HW and SW areas, as well as Vertical Markets.","I am fanatical about user centered product design. I've launched products that have received multiple design awards as well as products of the year in their categories, and love coaching others on the importance and processes to get you there. ",Advisor,,Berkeley Skydeck,rec5H8JsadWZJ9Nsl
Konstantin Lotter,Trustventure,"First Momentum Ventures, shareDnC, Startplatz Accelerator",Background in BisDez and VC turned financial advisor. Trustventure is an investment banking boutique focused on early-stage fundraising and strategic financial support.,"Fundraising, M&A, Finance, Investor Relations, Controlling/Reporting",Mentor,Europe,Berkeley Skydeck,rec5IxWjAOYxnZxXU
